# Rime user dictionary
#@/db_name	pinyin_simp
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	1400
#@/user_id	iarch
qing xi 	清洗	c=1 d=0.00279478 t=1400
qing xu 	情绪	c=1 d=0.0378169 t=1400
qiu 	球	c=1 d=0.0155297 t=1400
qu 	去	c=2 d=0.375382 t=1400
qu dong 	驱动	c=1 d=0.00660452 t=1400
qu wei 	趣味	c=0 d=0.0519442 t=1400
qu wei shi zu 	趣味十足	c=1 d=0.522046 t=1400
qu xiao 	取消	c=1 d=0.00151097 t=1400
quan ju 	全局	c=1 d=0.960789 t=1400
que 	却	c=1 d=0.138761 t=1400
ran hou 	然后	c=2 d=0.0743977 t=1400
ran qi 	燃气	c=1 d=0.331211 t=1400
ren 	人	c=11 d=1.91607 t=1400
ren ke 	认可	c=1 d=0.00362464 t=1400
ren sheng 	人生	c=1 d=0.00680567 t=1400
ren shou 	忍受	c=1 d=0.00276698 t=1400
ren wu 	人物	c=1 d=0.0893672 t=1400
ren zheng 	认证	c=2 d=0.400878 t=1400
ri ju 	日剧	c=1 d=0.0199406 t=1400
ri yu 	日语	c=1 d=0.0203434 t=1400
rong qi 	容器	c=9 d=0.0475284 t=1400
rong ru 	融入	c=1 d=0.0944203 t=1400
rong yi 	容易	c=1 d=0.00318278 t=1400
ru 	入	c=1 d=0.219808 t=1400
ru ci 	如此	c=1 d=0.00155699 t=1400
ru guo 	如果	c=4 d=0.580748 t=1400
ru he 	如何	c=4 d=0.195083 t=1400
sai fen 	赛分	c=1 d=0.782947 t=1400
san zhong 	三种	c=1 d=0.00509243 t=1400
sha 	啥	c=1 d=0.0547488 t=1400
shan yu yu lai 	山雨欲来	c=1 d=0.131336 t=1400
shang liang 	商量	c=1 d=0.00195963 t=1400
shang mian 	上面	c=1 d=0.514273 t=1400
shang wei 	尚未	c=1 d=0.0309619 t=1400
shao bu fen 	少部分	c=1 d=0.00358858 t=1400
shao wei 	稍微	c=1 d=0.447088 t=1400
she qu 	社区	c=1 d=0.0446009 t=1400
she shi 	设施	c=1 d=0.0308074 t=1400
shen he 	审核	c=3 d=1.19495 t=1400
shen ke 	深刻	c=1 d=0.0205478 t=1400
shen me 	什么	c=6 d=1.30446 t=1400
shen qing 	申请	c=1 d=0.0184075 t=1400
sheng 	生	c=1 d=0.70822 t=1400
sheng dong 	生动	c=1 d=0.086726 t=1400
sheng ji 	升级	c=2 d=0.00240107 t=1400
sheng yu 	胜于	c=0 d=0.0102797 t=1400
shi 	是	c=13 d=1.55187 t=1400
shi bai 	失败	c=2 d=1.81425 t=1400
shi chuan 	试穿	c=1 d=0.018043 t=1400
shi fou 	是否	c=3 d=0.282472 t=1400
shi hou 	事后	c=1 d=0.0426384 t=1400
shi hou 	时候	c=2 d=0.291242 t=1400
shi jian 	事件	c=1 d=0.0858628 t=1400
shi jian 	时间	c=1 d=0.060205 t=1400
shi li 	示例	c=1 d=0.00628242 t=1400
shi pin 	视频	c=1 d=0.0602252 t=1400
shi qing 	事情	c=2 d=0.647371 t=1400
shi qu 	失去	c=1 d=0.774916 t=1400
shi ri 	时日	c=1 d=0.00324708 t=1400
shi shi 	试试	c=1 d=0.22091 t=1400
shi wu 	十五	c=1 d=0.0829096 t=1400
shi ying 	适应	c=1 d=0.00161035 t=1400
shi yong 	使用	c=1 d=0.00256705 t=1400
shi zu 	十足	c=0 d=0.0519442 t=1400
shou dao 	收到	c=1 d=0.431711 t=1400
shou gong 	手工	c=1 d=0.814647 t=1400
shou xian 	首先	c=1 d=0.00124952 t=1400
shu 	竖	c=0 d=0.000173803 t=1400
